,FileNames,Ground Truth
0,90s_013.bmp,13
1,173s_036.bmp,36
2,0213_036.bmp,36
3,120s_136.bmp,136
4,42s_043.bmp,43
5,11s_143.bmp,143
6,257s_105.bmp,105
7,77s_096.bmp,96
8,204s_005.bmp,5
9,303s_144.bmp,144
10,285s_155.bmp,155
11,0259_077.bmp,77
12,0331_063.bmp,63
13,268s_070.bmp,70
14,30s_048.bmp,48
15,63s_148.bmp,148
16,0218_093.bmp,93
17,109s_131.bmp,131
18,54s_131.bmp,131
19,136s_044.bmp,44
20,188s_061.bmp,61
21,165s_144.bmp,144
22,38s_144.bmp,144
23,103s_091.bmp,91
24,293s_027.bmp,27
25,315s_036.bmp,36
26,241s_077.bmp,77
27,43s_057.bmp,57
28,1s_107.bmp,107
29,0302_118.bmp,118
30,172s_022.bmp,22
31,91s_007.bmp,7
32,121s_122.bmp,122
33,0203_022.bmp,22
34,0249_063.bmp,63
35,284s_141.bmp,141
36,269s_064.bmp,64
37,256s_111.bmp,111
38,302s_150.bmp,150
39,232s_068.bmp,68
40,76s_082.bmp,82
41,205s_011.bmp,11
42,189s_075.bmp,75
43,100s_029.bmp,29
44,137s_050.bmp,50
45,153s_129.bmp,129
46,39s_150.bmp,150
47,164s_150.bmp,150
48,55s_125.bmp,125
49,108s_125.bmp,125
50,0208_087.bmp,87
51,0235_008.bmp,8
52,314s_022.bmp,22
53,240s_063.bmp,63
54,159s_089.bmp,89
55,292s_033.bmp,33
56,102s_085.bmp,85
57,0334_132.bmp,132
58,137s_044.bmp,44
59,189s_061.bmp,61
60,164s_144.bmp,144
61,39s_144.bmp,144
62,31s_048.bmp,48
63,0208_093.bmp,93
64,62s_148.bmp,148
65,108s_131.bmp,131
66,55s_131.bmp,131
67,314s_036.bmp,36
68,240s_077.bmp,77
69,0334_126.bmp,126
70,102s_091.bmp,91
71,292s_027.bmp,27
72,1s_113.bmp,113
73,43s_043.bmp,43
74,10s_143.bmp,143
75,91s_013.bmp,13
76,172s_036.bmp,36
77,0203_036.bmp,36
78,121s_136.bmp,136
79,284s_155.bmp,155
80,0249_077.bmp,77
81,269s_070.bmp,70
82,256s_105.bmp,105
83,205s_005.bmp,5
84,76s_096.bmp,96
85,302s_144.bmp,144
86,54s_125.bmp,125
87,109s_125.bmp,125
88,0218_087.bmp,87
89,188s_075.bmp,75
90,101s_029.bmp,29
91,136s_050.bmp,50
92,152s_129.bmp,129
93,38s_150.bmp,150
94,165s_150.bmp,150
95,293s_033.bmp,33
96,103s_085.bmp,85
97,315s_022.bmp,22
98,0225_008.bmp,8
99,241s_063.bmp,63
100,158s_089.bmp,89
101,173s_022.bmp,22
102,90s_007.bmp,7
103,120s_122.bmp,122
104,0213_022.bmp,22
105,0312_118.bmp,118
106,42s_057.bmp,57
107,257s_111.bmp,111
108,233s_068.bmp,68
109,303s_150.bmp,150
110,204s_011.bmp,11
111,77s_082.bmp,82
112,0331_077.bmp,77
113,0259_063.bmp,63
114,285s_141.bmp,141
115,268s_064.bmp,64
116,180s_151.bmp,151
117,30s_074.bmp,74
118,152s_101.bmp,101
119,136s_078.bmp,78
120,0176_136.bmp,136
121,0182_137.bmp,137
122,101s_001.bmp,1
123,249s_147.bmp,147
124,276s_032.bmp,32
125,225s_132.bmp,132
126,8s_023.bmp,23
127,0197_072.bmp,72
128,19s_073.bmp,73
129,144s_073.bmp,73
130,98s_123.bmp,123
131,26s_106.bmp,106
132,196s_023.bmp,23
133,0312_130.bmp,130
134,75s_006.bmp,6
135,206s_095.bmp,95
136,128s_006.bmp,6
137,204s_039.bmp,39
138,233s_040.bmp,40
139,257s_139.bmp,139
140,260s_140.bmp,140
141,92s_083.bmp,83
142,87s_149.bmp,149
143,153s_115.bmp,115
144,100s_015.bmp,15
145,189s_049.bmp,49
146,0166_122.bmp,122
147,0192_123.bmp,123
148,55s_119.bmp,119
149,181s_145.bmp,145
150,108s_119.bmp,119
151,0093_019.bmp,19
152,31s_060.bmp,60
153,277s_026.bmp,26
