,FileNames,Ground Truth
0,173s_036.bmp,36
1,0088_094.bmp,94
2,120s_136.bmp,136
3,0114_081.bmp,81
4,42s_043.bmp,43
5,11s_143.bmp,143
6,365s_091.bmp,91
7,257s_105.bmp,105
8,350s_044.bmp,44
9,204s_005.bmp,5
10,0140_120.bmp,120
11,303s_144.bmp,144
12,0028_134.bmp,134
13,285s_155.bmp,155
14,382s_014.bmp,14
15,268s_070.bmp,70
16,358s_148.bmp,148
17,30s_048.bmp,48
18,0077_030.bmp,30
19,0083_031.bmp,31
20,109s_131.bmp,131
21,136s_044.bmp,44
22,188s_061.bmp,61
23,165s_144.bmp,144
24,38s_144.bmp,144
25,379s_043.bmp,43
26,103s_091.bmp,91
27,293s_027.bmp,27
28,315s_036.bmp,36
29,0155_065.bmp,65
30,346s_136.bmp,136
31,241s_077.bmp,77
32,43s_057.bmp,57
33,1s_107.bmp,107
34,364s_085.bmp,85
35,172s_022.bmp,22
36,121s_122.bmp,122
37,0104_095.bmp,95
38,0203_022.bmp,22
39,383s_000.bmp,0
40,284s_141.bmp,141
41,269s_064.bmp,64
42,351s_050.bmp,50
43,366s_029.bmp,29
44,256s_111.bmp,111
45,302s_150.bmp,150
46,0038_120.bmp,120
47,232s_068.bmp,68
48,205s_011.bmp,11
49,335s_129.bmp,129
50,0150_134.bmp,134
51,189s_075.bmp,75
52,100s_029.bmp,29
53,137s_050.bmp,50
54,153s_129.bmp,129
55,413s_008.bmp,8
56,39s_150.bmp,150
57,164s_150.bmp,150
58,108s_125.bmp,125
59,0067_024.bmp,24
60,0093_025.bmp,25
61,0145_071.bmp,71
62,314s_022.bmp,22
63,240s_063.bmp,63
64,347s_122.bmp,122
65,159s_089.bmp,89
66,378s_057.bmp,57
67,292s_033.bmp,33
68,102s_085.bmp,85
69,137s_044.bmp,44
70,189s_061.bmp,61
71,164s_144.bmp,144
72,39s_144.bmp,144
73,31s_048.bmp,48
74,0067_030.bmp,30
75,0093_031.bmp,31
76,108s_131.bmp,131
77,314s_036.bmp,36
78,0145_065.bmp,65
79,347s_136.bmp,136
80,240s_077.bmp,77
81,378s_043.bmp,43
82,102s_091.bmp,91
83,292s_027.bmp,27
84,1s_113.bmp,113
85,43s_043.bmp,43
86,10s_143.bmp,143
87,364s_091.bmp,91
88,172s_036.bmp,36
89,0098_094.bmp,94
90,0203_036.bmp,36
91,0104_081.bmp,81
92,121s_136.bmp,136
93,284s_155.bmp,155
94,383s_014.bmp,14
95,359s_148.bmp,148
96,269s_070.bmp,70
97,256s_105.bmp,105
98,351s_044.bmp,44
99,0150_120.bmp,120
100,205s_005.bmp,5
101,302s_144.bmp,144
102,0038_134.bmp,134
103,109s_125.bmp,125
104,0077_024.bmp,24
105,0083_025.bmp,25
106,188s_075.bmp,75
107,101s_029.bmp,29
108,136s_050.bmp,50
109,152s_129.bmp,129
110,38s_150.bmp,150
111,412s_008.bmp,8
112,165s_150.bmp,150
113,379s_057.bmp,57
114,293s_033.bmp,33
115,103s_085.bmp,85
116,0155_071.bmp,71
117,315s_022.bmp,22
118,241s_063.bmp,63
119,346s_122.bmp,122
120,158s_089.bmp,89
121,173s_022.bmp,22
122,0114_095.bmp,95
123,120s_122.bmp,122
124,42s_057.bmp,57
125,365s_085.bmp,85
126,350s_050.bmp,50
127,257s_111.bmp,111
128,367s_029.bmp,29
129,233s_068.bmp,68
130,303s_150.bmp,150
131,0028_120.bmp,120
132,0140_134.bmp,134
133,334s_129.bmp,129
134,204s_011.bmp,11
135,382s_000.bmp,0
136,285s_141.bmp,141
137,268s_064.bmp,64
138,180s_151.bmp,151
139,30s_074.bmp,74
140,412s_020.bmp,20
141,152s_101.bmp,101
142,136s_078.bmp,78
143,0176_136.bmp,136
144,0182_137.bmp,137
145,101s_001.bmp,1
146,249s_147.bmp,147
147,276s_032.bmp,32
148,225s_132.bmp,132
149,322s_073.bmp,73
150,0155_059.bmp,59
151,0122_097.bmp,97
152,380s_084.bmp,84
153,0163_073.bmp,73
154,0197_072.bmp,72
155,19s_073.bmp,73
156,144s_073.bmp,73
157,404s_152.bmp,152
158,26s_106.bmp,106
159,196s_023.bmp,23
160,0062_149.bmp,149
161,0096_148.bmp,148
162,206s_095.bmp,95
163,128s_006.bmp,6
164,334s_101.bmp,101
165,204s_039.bmp,39
166,233s_040.bmp,40
167,0028_108.bmp,108
168,257s_139.bmp,139
169,367s_001.bmp,1
170,350s_078.bmp,78
171,260s_140.bmp,140
172,0041_026.bmp,26
173,382s_028.bmp,28
174,0129_032.bmp,32
175,153s_115.bmp,115
176,413s_034.bmp,34
177,100s_015.bmp,15
178,189s_049.bmp,49
179,0166_122.bmp,122
180,0192_123.bmp,123
181,181s_145.bmp,145
182,108s_119.bmp,119
183,0067_018.bmp,18
184,0093_019.bmp,19
185,31s_060.bmp,60
186,277s_026.bmp,26
187,323s_067.bmp,67
188,0132_083.bmp,83
189,224s_126.bmp,126
190,248s_153.bmp,153
191,411s_098.bmp,98
192,27s_112.bmp,112
193,129s_012.bmp,12
194,207s_081.bmp,81
195,197s_037.bmp,37
196,0173_067.bmp,67
197,0187_066.bmp,66
198,381s_090.bmp,90
199,405s_146.bmp,146
200,145s_067.bmp,67
201,18s_067.bmp,67
202,269s_058.bmp,58
203,0139_026.bmp,26
204,0051_032.bmp,32
205,232s_054.bmp,54
206,335s_115.bmp,115
207,0150_108.bmp,108
208,261s_154.bmp,154
209,366s_015.bmp,15
210,27s_106.bmp,106
211,197s_023.bmp,23
212,207s_095.bmp,95
213,129s_006.bmp,6
214,0072_149.bmp,149
215,0086_148.bmp,148
216,381s_084.bmp,84
217,0173_073.bmp,73
218,0187_072.bmp,72
219,18s_073.bmp,73
220,145s_073.bmp,73
221,405s_152.bmp,152
222,0051_026.bmp,26
223,383s_028.bmp,28
224,0139_032.bmp,32
225,205s_039.bmp,39
226,335s_101.bmp,101
227,0038_108.bmp,108
228,232s_040.bmp,40
229,366s_001.bmp,1
230,256s_139.bmp,139
231,261s_140.bmp,140
232,351s_078.bmp,78
233,413s_020.bmp,20
234,153s_101.bmp,101
235,0166_136.bmp,136
236,0192_137.bmp,137
237,137s_078.bmp,78
238,100s_001.bmp,1
239,181s_151.bmp,151
240,31s_074.bmp,74
241,277s_032.bmp,32
242,224s_132.bmp,132
243,0132_097.bmp,97
244,0145_059.bmp,59
245,323s_073.bmp,73
246,248s_147.bmp,147
247,0163_067.bmp,67
248,0197_066.bmp,66
249,380s_090.bmp,90
250,404s_146.bmp,146
251,144s_067.bmp,67
252,19s_067.bmp,67
253,26s_112.bmp,112
254,128s_012.bmp,12
255,206s_081.bmp,81
256,196s_037.bmp,37
257,233s_054.bmp,54
258,0140_108.bmp,108
259,334s_115.bmp,115
260,260s_154.bmp,154
261,367s_015.bmp,15
262,268s_058.bmp,58
263,0129_026.bmp,26
264,0041_032.bmp,32
265,180s_145.bmp,145
266,109s_119.bmp,119
267,0077_018.bmp,18
268,0083_019.bmp,19
269,30s_060.bmp,60
270,152s_115.bmp,115
271,412s_034.bmp,34
272,101s_015.bmp,15
273,188s_049.bmp,49
274,0176_122.bmp,122
275,0182_123.bmp,123
276,410s_098.bmp,98
277,249s_153.bmp,153
278,276s_026.bmp,26
279,0122_083.bmp,83
280,322s_067.bmp,67
281,225s_126.bmp,126
282,410s_073.bmp,73
283,379s_080.bmp,80
284,150s_152.bmp,152
285,103s_052.bmp,52
286,0020_091.bmp,91
287,0148_085.bmp,85
288,182s_102.bmp,102
289,32s_027.bmp,27
290,274s_061.bmp,61
291,243s_018.bmp,18
292,373s_120.bmp,120
293,317s_059.bmp,59
294,0205_073.bmp,73
295,320s_020.bmp,20
296,299s_144.bmp,144
297,210s_118.bmp,118
298,396s_109.bmp,109
299,218s_014.bmp,14
300,291s_048.bmp,48
301,136s_087.bmp,87
302,0074_130.bmp,130
303,0080_131.bmp,131
304,350s_087.bmp,87
305,179s_155.bmp,155
306,24s_155.bmp,155
307,194s_070.bmp,70
308,115s_120.bmp,120
309,0143_020.bmp,20
310,146s_020.bmp,20
311,171s_059.bmp,59
312,406s_101.bmp,101
313,0061_075.bmp,75
314,0095_074.bmp,74
315,0109_061.bmp,61
316,309s_027.bmp,27
317,336s_152.bmp,152
318,42s_080.bmp,80
319,231s_013.bmp,13
320,365s_052.bmp,52
321,262s_113.bmp,113
322,183s_116.bmp,116
323,0158_091.bmp,91
324,323s_098.bmp,98
325,0030_085.bmp,85
326,33s_033.bmp,33
327,151s_146.bmp,146
328,378s_094.bmp,94
329,411s_067.bmp,67
330,102s_046.bmp,46
331,137s_093.bmp,93
332,329s_138.bmp,138
333,219s_000.bmp,0
334,0064_124.bmp,124
335,0090_125.bmp,125
336,372s_134.bmp,134
337,275s_075.bmp,75
338,321s_034.bmp,34
339,298s_150.bmp,150
340,0153_034.bmp,34
341,114s_134.bmp,134
342,407s_115.bmp,115
343,147s_034.bmp,34
344,25s_141.bmp,141
345,178s_141.bmp,141
346,351s_093.bmp,93
347,12s_138.bmp,138
348,41s_038.bmp,38
349,195s_064.bmp,64
350,43s_094.bmp,94
351,230s_007.bmp,7
352,0200_122.bmp,122
353,337s_146.bmp,146
354,263s_107.bmp,107
355,364s_046.bmp,46
356,18s_098.bmp,98
357,145s_098.bmp,98
358,308s_033.bmp,33
359,0119_075.bmp,75
360,0071_061.bmp,61
361,0085_060.bmp,60
362,114s_120.bmp,120
363,0153_020.bmp,20
364,147s_020.bmp,20
365,170s_059.bmp,59
366,407s_101.bmp,101
367,351s_087.bmp,87
368,178s_155.bmp,155
369,25s_155.bmp,155
370,195s_070.bmp,70
371,337s_152.bmp,152
372,0200_136.bmp,136
373,230s_013.bmp,13
374,43s_080.bmp,80
375,364s_052.bmp,52
376,263s_113.bmp,113
377,0071_075.bmp,75
378,0085_074.bmp,74
379,0119_061.bmp,61
380,308s_027.bmp,27
381,0030_091.bmp,91
382,0158_085.bmp,85
383,183s_102.bmp,102
384,33s_027.bmp,27
385,378s_080.bmp,80
386,411s_073.bmp,73
387,151s_152.bmp,152
388,102s_052.bmp,52
389,397s_109.bmp,109
390,0064_130.bmp,130
391,0090_131.bmp,131
392,219s_014.bmp,14
393,290s_048.bmp,48
394,137s_087.bmp,87
395,275s_061.bmp,61
396,372s_120.bmp,120
397,242s_018.bmp,18
398,316s_059.bmp,59
399,298s_144.bmp,144
400,211s_118.bmp,118
401,321s_020.bmp,20
402,24s_141.bmp,141
403,179s_141.bmp,141
404,13s_138.bmp,138
405,350s_093.bmp,93
406,40s_038.bmp,38
407,194s_064.bmp,64
408,0143_034.bmp,34
409,115s_134.bmp,134
410,406s_115.bmp,115
411,146s_034.bmp,34
412,19s_098.bmp,98
413,144s_098.bmp,98
414,309s_033.bmp,33
415,0109_075.bmp,75
416,0061_061.bmp,61
417,0095_060.bmp,60
418,231s_007.bmp,7
419,42s_094.bmp,94
420,336s_146.bmp,146
421,262s_107.bmp,107
422,365s_046.bmp,46
423,150s_146.bmp,146
424,410s_067.bmp,67
425,379s_094.bmp,94
