,FileNames,Ground Truth
0,173s_036.bmp,36
1,0213_036.bmp,36
2,0088_094.bmp,94
3,120s_136.bmp,136
4,0114_081.bmp,81
5,42s_043.bmp,43
6,11s_143.bmp,143
7,365s_091.bmp,91
8,257s_105.bmp,105
9,350s_044.bmp,44
10,204s_005.bmp,5
11,0140_120.bmp,120
12,303s_144.bmp,144
13,0028_134.bmp,134
14,285s_155.bmp,155
15,382s_014.bmp,14
16,268s_070.bmp,70
17,358s_148.bmp,148
18,30s_048.bmp,48
19,0077_030.bmp,30
20,0083_031.bmp,31
21,0218_093.bmp,93
22,109s_131.bmp,131
23,54s_131.bmp,131
24,136s_044.bmp,44
25,188s_061.bmp,61
26,165s_144.bmp,144
27,38s_144.bmp,144
28,379s_043.bmp,43
29,103s_091.bmp,91
30,293s_027.bmp,27
31,315s_036.bmp,36
32,0155_065.bmp,65
33,346s_136.bmp,136
34,241s_077.bmp,77
35,43s_057.bmp,57
36,1s_107.bmp,107
37,364s_085.bmp,85
38,172s_022.bmp,22
39,121s_122.bmp,122
40,0104_095.bmp,95
41,0203_022.bmp,22
42,383s_000.bmp,0
43,0249_063.bmp,63
44,284s_141.bmp,141
45,269s_064.bmp,64
46,351s_050.bmp,50
47,366s_029.bmp,29
48,256s_111.bmp,111
49,302s_150.bmp,150
50,0038_120.bmp,120
51,232s_068.bmp,68
52,205s_011.bmp,11
53,335s_129.bmp,129
54,0150_134.bmp,134
55,189s_075.bmp,75
56,100s_029.bmp,29
57,137s_050.bmp,50
58,153s_129.bmp,129
59,413s_008.bmp,8
60,39s_150.bmp,150
61,164s_150.bmp,150
62,55s_125.bmp,125
63,108s_125.bmp,125
64,0067_024.bmp,24
65,0093_025.bmp,25
66,0208_087.bmp,87
67,0145_071.bmp,71
68,0235_008.bmp,8
69,314s_022.bmp,22
70,240s_063.bmp,63
71,347s_122.bmp,122
72,159s_089.bmp,89
73,378s_057.bmp,57
74,292s_033.bmp,33
75,102s_085.bmp,85
76,137s_044.bmp,44
77,189s_061.bmp,61
78,164s_144.bmp,144
79,39s_144.bmp,144
80,31s_048.bmp,48
81,0208_093.bmp,93
82,0067_030.bmp,30
83,0093_031.bmp,31
84,108s_131.bmp,131
85,55s_131.bmp,131
86,314s_036.bmp,36
87,0145_065.bmp,65
88,347s_136.bmp,136
89,240s_077.bmp,77
90,378s_043.bmp,43
91,102s_091.bmp,91
92,292s_027.bmp,27
93,1s_113.bmp,113
94,43s_043.bmp,43
95,10s_143.bmp,143
96,364s_091.bmp,91
97,172s_036.bmp,36
98,0098_094.bmp,94
99,0203_036.bmp,36
100,0104_081.bmp,81
101,121s_136.bmp,136
102,284s_155.bmp,155
103,0249_077.bmp,77
104,383s_014.bmp,14
105,359s_148.bmp,148
106,269s_070.bmp,70
107,256s_105.bmp,105
108,351s_044.bmp,44
109,0150_120.bmp,120
110,205s_005.bmp,5
111,302s_144.bmp,144
112,0038_134.bmp,134
113,54s_125.bmp,125
114,109s_125.bmp,125
115,0218_087.bmp,87
116,0077_024.bmp,24
117,0083_025.bmp,25
118,188s_075.bmp,75
119,101s_029.bmp,29
120,136s_050.bmp,50
121,152s_129.bmp,129
122,38s_150.bmp,150
123,412s_008.bmp,8
124,165s_150.bmp,150
125,379s_057.bmp,57
126,293s_033.bmp,33
127,103s_085.bmp,85
128,0155_071.bmp,71
129,315s_022.bmp,22
130,0225_008.bmp,8
131,241s_063.bmp,63
132,346s_122.bmp,122
133,158s_089.bmp,89
134,173s_022.bmp,22
135,0114_095.bmp,95
136,120s_122.bmp,122
137,0213_022.bmp,22
138,42s_057.bmp,57
139,365s_085.bmp,85
140,350s_050.bmp,50
141,257s_111.bmp,111
142,367s_029.bmp,29
143,233s_068.bmp,68
144,303s_150.bmp,150
145,0028_120.bmp,120
146,0140_134.bmp,134
147,334s_129.bmp,129
148,204s_011.bmp,11
149,382s_000.bmp,0
150,285s_141.bmp,141
151,268s_064.bmp,64
152,180s_151.bmp,151
153,30s_074.bmp,74
154,412s_020.bmp,20
155,152s_101.bmp,101
156,136s_078.bmp,78
157,0176_136.bmp,136
158,0182_137.bmp,137
159,101s_001.bmp,1
160,249s_147.bmp,147
161,276s_032.bmp,32
162,0225_020.bmp,20
163,225s_132.bmp,132
164,322s_073.bmp,73
165,0155_059.bmp,59
166,0122_097.bmp,97
167,380s_084.bmp,84
168,0163_073.bmp,73
169,0197_072.bmp,72
170,19s_073.bmp,73
171,144s_073.bmp,73
172,404s_152.bmp,152
173,26s_106.bmp,106
174,196s_023.bmp,23
175,0062_149.bmp,149
176,0096_148.bmp,148
177,206s_095.bmp,95
178,128s_006.bmp,6
179,334s_101.bmp,101
180,204s_039.bmp,39
181,233s_040.bmp,40
182,0028_108.bmp,108
183,257s_139.bmp,139
184,367s_001.bmp,1
185,350s_078.bmp,78
186,260s_140.bmp,140
187,0041_026.bmp,26
188,382s_028.bmp,28
189,0129_032.bmp,32
190,153s_115.bmp,115
191,413s_034.bmp,34
192,100s_015.bmp,15
193,189s_049.bmp,49
194,0166_122.bmp,122
195,0192_123.bmp,123
196,55s_119.bmp,119
197,181s_145.bmp,145
198,108s_119.bmp,119
199,0067_018.bmp,18
200,0093_019.bmp,19
201,31s_060.bmp,60
202,277s_026.bmp,26
203,323s_067.bmp,67
204,0132_083.bmp,83
205,0235_034.bmp,34
206,224s_126.bmp,126
207,248s_153.bmp,153
