,FileNames,Ground Truth
0,173s_036.bmp,36
1,0213_036.bmp,36
2,0088_094.bmp,94
3,120s_136.bmp,136
4,0114_081.bmp,81
5,42s_043.bmp,43
6,11s_143.bmp,143
7,365s_091.bmp,91
8,257s_105.bmp,105
9,350s_044.bmp,44
10,204s_005.bmp,5
11,0140_120.bmp,120
12,303s_144.bmp,144
13,0028_134.bmp,134
14,285s_155.bmp,155
15,0259_077.bmp,77
16,382s_014.bmp,14
17,268s_070.bmp,70
18,358s_148.bmp,148
19,30s_048.bmp,48
20,0077_030.bmp,30
21,0083_031.bmp,31
22,63s_148.bmp,148
23,0218_093.bmp,93
24,109s_131.bmp,131
25,54s_131.bmp,131
26,136s_044.bmp,44
27,188s_061.bmp,61
28,165s_144.bmp,144
29,38s_144.bmp,144
30,379s_043.bmp,43
31,103s_091.bmp,91
32,293s_027.bmp,27
33,315s_036.bmp,36
34,0155_065.bmp,65
35,346s_136.bmp,136
36,241s_077.bmp,77
37,43s_057.bmp,57
38,1s_107.bmp,107
39,364s_085.bmp,85
40,172s_022.bmp,22
41,121s_122.bmp,122
42,0104_095.bmp,95
43,0203_022.bmp,22
44,383s_000.bmp,0
45,0249_063.bmp,63
46,284s_141.bmp,141
47,269s_064.bmp,64
48,351s_050.bmp,50
49,366s_029.bmp,29
50,256s_111.bmp,111
51,302s_150.bmp,150
52,0038_120.bmp,120
53,232s_068.bmp,68
54,205s_011.bmp,11
55,335s_129.bmp,129
56,0150_134.bmp,134
57,189s_075.bmp,75
58,100s_029.bmp,29
59,137s_050.bmp,50
60,153s_129.bmp,129
61,413s_008.bmp,8
62,39s_150.bmp,150
63,164s_150.bmp,150
64,55s_125.bmp,125
65,108s_125.bmp,125
66,0067_024.bmp,24
67,0093_025.bmp,25
68,0208_087.bmp,87
69,0145_071.bmp,71
70,0235_008.bmp,8
71,314s_022.bmp,22
72,240s_063.bmp,63
73,347s_122.bmp,122
74,159s_089.bmp,89
75,378s_057.bmp,57
76,292s_033.bmp,33
77,102s_085.bmp,85
78,137s_044.bmp,44
79,189s_061.bmp,61
80,164s_144.bmp,144
81,39s_144.bmp,144
82,31s_048.bmp,48
83,0208_093.bmp,93
84,62s_148.bmp,148
85,0067_030.bmp,30
86,0093_031.bmp,31
87,108s_131.bmp,131
88,55s_131.bmp,131
89,314s_036.bmp,36
90,0145_065.bmp,65
91,347s_136.bmp,136
92,240s_077.bmp,77
93,378s_043.bmp,43
94,102s_091.bmp,91
95,292s_027.bmp,27
96,1s_113.bmp,113
97,43s_043.bmp,43
98,10s_143.bmp,143
99,364s_091.bmp,91
100,172s_036.bmp,36
101,0098_094.bmp,94
102,0203_036.bmp,36
103,0104_081.bmp,81
104,121s_136.bmp,136
105,284s_155.bmp,155
106,0249_077.bmp,77
107,383s_014.bmp,14
108,359s_148.bmp,148
109,269s_070.bmp,70
110,256s_105.bmp,105
111,351s_044.bmp,44
112,0150_120.bmp,120
113,205s_005.bmp,5
114,302s_144.bmp,144
115,0038_134.bmp,134
116,54s_125.bmp,125
117,109s_125.bmp,125
118,0218_087.bmp,87
119,0077_024.bmp,24
120,0083_025.bmp,25
121,188s_075.bmp,75
122,101s_029.bmp,29
123,136s_050.bmp,50
124,152s_129.bmp,129
125,38s_150.bmp,150
126,412s_008.bmp,8
127,165s_150.bmp,150
128,379s_057.bmp,57
129,293s_033.bmp,33
130,103s_085.bmp,85
131,0155_071.bmp,71
132,315s_022.bmp,22
133,0225_008.bmp,8
134,241s_063.bmp,63
135,346s_122.bmp,122
136,158s_089.bmp,89
137,173s_022.bmp,22
138,0114_095.bmp,95
139,120s_122.bmp,122
140,0213_022.bmp,22
141,42s_057.bmp,57
142,365s_085.bmp,85
143,350s_050.bmp,50
144,257s_111.bmp,111
145,367s_029.bmp,29
146,233s_068.bmp,68
147,303s_150.bmp,150
148,0028_120.bmp,120
149,0140_134.bmp,134
150,334s_129.bmp,129
151,204s_011.bmp,11
152,382s_000.bmp,0
153,0259_063.bmp,63
154,285s_141.bmp,141
155,268s_064.bmp,64
156,180s_151.bmp,151
157,30s_074.bmp,74
158,412s_020.bmp,20
159,152s_101.bmp,101
160,136s_078.bmp,78
161,0176_136.bmp,136
162,0182_137.bmp,137
163,101s_001.bmp,1
164,249s_147.bmp,147
165,276s_032.bmp,32
166,0225_020.bmp,20
167,225s_132.bmp,132
168,322s_073.bmp,73
169,0155_059.bmp,59
170,0122_097.bmp,97
171,380s_084.bmp,84
172,0163_073.bmp,73
173,0197_072.bmp,72
174,19s_073.bmp,73
175,144s_073.bmp,73
176,404s_152.bmp,152
177,26s_106.bmp,106
178,196s_023.bmp,23
179,0062_149.bmp,149
180,0096_148.bmp,148
181,206s_095.bmp,95
182,128s_006.bmp,6
183,334s_101.bmp,101
184,204s_039.bmp,39
185,233s_040.bmp,40
186,0028_108.bmp,108
187,257s_139.bmp,139
188,367s_001.bmp,1
189,350s_078.bmp,78
190,260s_140.bmp,140
191,0041_026.bmp,26
192,382s_028.bmp,28
193,0129_032.bmp,32
194,153s_115.bmp,115
195,413s_034.bmp,34
196,100s_015.bmp,15
197,189s_049.bmp,49
198,0166_122.bmp,122
199,0192_123.bmp,123
200,55s_119.bmp,119
201,181s_145.bmp,145
202,108s_119.bmp,119
203,0067_018.bmp,18
204,0093_019.bmp,19
205,31s_060.bmp,60
206,277s_026.bmp,26
207,323s_067.bmp,67
